Chapter,Title,Part,Volume
1,Prologue,Phantom Blood,1
2,Dio Brando the Invader,Phantom Blood,1
3,Dio Brando the Invader,Phantom Blood,1
4,Dio Brando the Invader,Phantom Blood,1
5,Dio Brando the Invader,Phantom Blood,1
6,A Letter from the Past,Phantom Blood,1
7,A Letter from the Past,Phantom Blood,1
8,The Stone Mask,Phantom Blood,1
9,The Stone Mask,Phantom Blood,1
10,The Stone Mask,Phantom Blood,1
11,The Stone Mask,Phantom Blood,1
12,Youth with Dio,Phantom Blood,2
13,Youth with Dio,Phantom Blood,2
14,Youth with Dio,Phantom Blood,2
15,Youth with Dio,Phantom Blood,2
16,Youth with Dio,Phantom Blood,2
17,The Birth of DIO,Phantom Blood,2
18,Jack the Ripper and Zeppeli the Strange,Phantom Blood,2
19,Jack the Ripper and Zeppeli the Strange,Phantom Blood,2
20,Jack the Ripper and Zeppeli the Strange,Phantom Blood,2
21,Jack the Ripper and Zeppeli the Strange,Phantom Blood,2
22,Jack the Ripper and Zeppeli the Strange,Phantom Blood,2
23,Hamon Overdrive,Phantom Blood,2
24,Hamon Overdrive,Phantom Blood,2
25,Hamon Overdrive,Phantom Blood,2
26,Tarkus and the Dark Knight Blueford,Phantom Blood,2
27,Tarkus and the Dark Knight Blueford,Phantom Blood,2
28,Tarkus and the Dark Knight Blueford,Phantom Blood,3
29,Tarkus and the Dark Knight Blueford,Phantom Blood,3
30,Sleep as a Hero,Phantom Blood,3
31,The Knights' Ruins,Phantom Blood,3
32,The Medieval Knights' Training Ground for Murder,Phantom Blood,3
33,Pluck for Tomorrow and the Successor,Phantom Blood,3
34,Pluck for Tomorrow and the Successor,Phantom Blood,3
35,Pluck for Tomorrow and the Successor,Phantom Blood,3
36,The Three from a Faraway Land,Phantom Blood,3
37,The Three from a Faraway Land,Phantom Blood,3
38,The Three from a Faraway Land,Phantom Blood,3
39,"Fire and Ice, Jonathan and Dio",Phantom Blood,3
40,"Fire and Ice, Jonathan and Dio",Phantom Blood,3
41,"Fire and Ice, Jonathan and Dio",Phantom Blood,3
